log_count_total_connect,log_cs_byte,log_transmit_speed_BPS,log_count_connect_IP,log_avg_count_connect,log_time_taken,log_time_interval_mean,log_time_interval_var,log_ratio_trans_receive
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.7371448123200001,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.4821,1.0331731664100001,0.5358,0.6573,0.1612,0.2874,0.5011
1.0267368080550001,0.9097993853550002,0.6389,1.0331731664100001,0.5994,0.7312,0.2345,0.3511,0.5033
1.0267368080550001,0.9097993853550002,0.3949,1.0331731664100001,0.4922,0.4831,0.1273,0.2436,0.4965
1.0267368080550001,0.9097993853550002,0.5037,1.0331731664100001,0.5714,0.6923,0.1989,0.2991,0.5005
1.0267368080550001,0.9097993853550002,0.6363,1.0331731664100001,0.6018,0.7432,0.2451,0.3236,0.5047
1.0267368080550001,0.9097993853550002,0.3939,1.0331731664100001,0.4944,0.4712,0.1233,0.2367,0.4981
1.0267368080550001,0.9097993853550002,0.5252,1.0331731664100001,0.5679,0.6931,0.2033,0.2926,0.5035
1.0267368080550001,0.9097993853550002,0.4567,1.0331731664100001,0.5411,0.6239,0.1734,0.2492,0.4998
1.0267368080550001,0.9097993853550002,0.6367,1.0331731664100001,0.6025,0.7449,0.2452,0.3194,0.5046
1.0267368080550001,0.9097993853550002,0.4359,1.0331731664100001,0.5314,0.5038,0.1295,0.2408,0.4982
1.0267368080550001,0.9097993853550002,0.5133,1.0331731664100001,0.5677,0.6659,0.2004,0.2672,0.5019
1.0267368080550001,0.9097993853550002,0.4885,1.0331731664100001,0.5386,0.6259,0.1813,0.2548,0.5011
1.0267368080550001,0.9097993853550002,0.5222,1.0331731664100001,0.5727,0.6969,0.2193,0.2814,0.5031
1.0267368080550001,0.9097993853550002,0.4495,1.0331731664100001,0.5414,0.5041,0.1403,0.2419,0.4989
1.0267368080550001,0.9097993853550002,0.5294,1.0331731664100001,0.5741,0.7379,0.2425,0.2968,0.5033
1.0267368080550001,0.9097993853550002,0.4791,1.0331731664100001,0.5355,0.6108,0.1812,0.2579,0.4997
1.0267368080550001,0.9097993853550002,0.5131,1.0331731664100001,0.5663,0.6388,0.2179,0.2845,0.5016
1.0267368080550001,0.9097993853550002,0.4356,1.0331731664100001,0.5333,0.4994,0.1388,0.2405,0.4987
1.0267368080550001,0.9097993853550002,0.5203,1.0331731664100001,0.5681,0.6548,0.2495,0.3041,0.5016
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.4935,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6456,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.5879,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6334,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.5906,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.5789,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6278,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.5934,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6156,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.5994,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6356,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6306,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.5731,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6161,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6231,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6166,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6103,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
1.0267368080550001,0.9097993853550002,0.8663584198500001,1.0331731664100001,0.6231,0.9554301083250001,0.704456917185,1.03122152679,0.6668822963250001
